id,topic,question_text,answer
1,기억력,"제가 지금부터 5가지 단어를 불러드릴 거예요. 잘 듣고 순서대로 기억했다가 다시 말해주세요. ""사과, 의자, 하늘, 연필, 자동차""","사과, 의자, 하늘, 연필, 자동차"
2,기억력,"제가 지금부터 5가지 동물의 이름을 불러드릴 거예요. 잘 듣고 순서대로 기억했다가 다시 말해주세요. ""강아지, 고양이, 코끼리, 토끼, 원숭이""","강아지, 고양이, 코끼리, 토끼, 원숭이"
3,기억력,제가 방금 말한 단어 중에 'ㄱ'으로 시작하는 단어는 무엇이었을까요?,"강아지, 고양이"
4,기억력,"제가 지금부터 숫자 3개를 불러드릴 거예요. 잘 듣고 거꾸로 말해주세요. ""7, 2, 9""","9, 2, 7"
5,기억력,"제가 지금부터 3가지 색깔을 불러드릴 거예요. 잘 듣고 순서대로 기억했다가 다시 말해주세요. ""빨강, 파랑, 노랑""","빨강, 파랑, 노랑"
6,계산력,5 더하기 3은 얼마일까요?,8
7,계산력,"사탕이 10개 있었는데, 친구에게 4개를 줬어요. 사탕은 몇 개 남았을까요?",6
8,계산력,2 곱하기 4는 얼마일까요?,8
9,계산력,연필 12자루를 3명에게 똑같이 나눠주려면 한 명당 몇 자루씩 가질 수 있을까요?,4
10,계산력,7 빼기 2는 얼마일까요?,5
11,계산력,3 더하기 6은 얼마일까요?,9
12,계산력,5 곱하기 3은 얼마일까요?,15
13,계산력,"연필이 15자루 있었는데, 친구 5명에게 똑같이 나눠주려면 한 명당 몇 자루씩 가질 수 있을까요?",3
14,계산력,"10에서 4를 빼고, 다시 2를 더하면 얼마일까요?",8
15,언어 능력,"제가 지금부터 단어를 하나 말할 거예요. 그 단어와 반대되는 말을 말해주세요. ""크다""",작다
16,언어 능력,"제가 말하는 단어의 끝 글자로 시작하는 새로운 단어를 말해주세요. ""바나나""",나비 / 나라 / 나무
17,언어 능력,"제가 지금부터 단어를 하나 말할 거예요. 그 단어와 비슷한 말을 말해주세요. ""예쁘다""",아름답다 / 곱다 / 귀엽다
18,언어 능력,"제가 말하는 단어의 끝 글자로 시작하는 새로운 단어를 말해주세요. ""코끼리""",리본 / 리더 / 리그
19,언어 능력,"다음 단어들의 공통점은 무엇일까요? ""사과, 배, 포도""",과일
20,기억력,"제가 지금부터 4가지 물건 이름을 불러드릴게요. 순서대로 다시 말해주세요. '컵, 책, 전화기, 모자'","컵, 책, 전화기, 모자"
21,기억력,"제가 지금부터 숫자 4개를 불러드릴게요. 거꾸로 말해주세요. '5, 8, 1, 3'","3, 1, 8, 5"
22,기억력,"제가 오늘 아침에 산 것은 '신문, 우유, 계란'이에요. 그중 두 번째로 산 건 뭐였을까요?",우유
23,기억력,"제가 말씀드리는 세 가지 색깔을 순서대로 말해보세요. '초록, 하늘색, 분홍'","초록, 하늘색, 분홍"
24,기억력,"제가 지금부터 4개의 장소를 말씀드릴게요. 순서대로 말해주세요. '시장, 학교, 병원, 공원'","시장, 학교, 병원, 공원"
25,기억력,"제가 말씀드린 단어 중에 'ㅅ'으로 시작하는 단어는 무엇이었을까요? '사탕, 우유, 바지, 상자'","사탕, 상자"
26,기억력,"제가 말씀드린 것 중에서 색깔이 아닌 것은 무엇일까요? '빨강, 노랑, 초록, 신발'",신발
27,계산력,9 빼기 4는 얼마일까요?,5
28,계산력,3 곱하기 3은 얼마일까요?,9
29,계산력,8 나누기 2는 얼마일까요?,4
30,계산력,"20에서 5를 빼고, 다시 2를 더하면 얼마일까요?",17
31,계산력,"사과가 12개 있는데, 3명에게 똑같이 나눠주면 몇 개씩 줄 수 있을까요?",4
32,계산력,7 더하기 6은 얼마일까요?,13
33,계산력,15에서 3을 빼면 얼마일까요?,12
34,계산력,"10 더하기 2, 그리고 거기서 3을 빼면 얼마일까요?",9
35,언어 능력,제가 말하는 단어의 반대말을 말해주세요. '높다',낮다
36,언어 능력,제가 말하는 문장에서 틀린 부분을 찾아 바르게 말해주세요. '나는 내일 어제 갔던 시장에 갈 거예요.',내일과 어제가 함께 있어 어색함
37,언어 능력,다음 문장을 똑같이 말해보세요. '백두산 큰 돌담은 돌담보다 더 크다.',백두산 큰 돌담은 돌담보다 더 크다.
38,언어 능력,“우리나라의 수도는 어디일까요?”,서울
39,언어 능력,"“독도, 태권도, 울릉도, 제주도 중 다른 것을 골라보세요.”",태권도
